# timestamp, loading image, state propagation, network inference, EKF update, total time
1460.348118649999833,3.47200,1.04700,34.87400,0.07800,39.47100
1460.414519441000039,2.39200,0.89400,34.09800,0.06000,37.44500
1460.447597597999902,3.01600,0.67900,32.80800,0.07200,36.57600
1460.513987494000048,2.84900,1.36900,34.47500,0.04500,38.73900
1460.547117493999849,2.94800,0.63900,36.14700,0.11200,39.84600
1460.580308493999837,2.40900,0.69400,37.30200,0.07200,40.47700
1460.613462545999937,3.36900,0.57600,35.33800,0.05100,39.33500
1460.646635493999838,3.26000,0.99300,35.19800,0.10900,39.56200
1460.679808493999872,2.45500,0.68100,33.61400,0.06000,36.81100
1460.712980545999926,3.01000,0.68700,35.78800,0.08800,39.57300
1460.746156681999992,3.45800,0.66900,32.06100,0.06400,36.25200
1460.779402546000028,2.78500,0.56500,33.74700,0.28600,37.38400
1460.845674545999827,2.74300,1.07800,32.83600,0.06600,36.72300
1460.878846493999845,2.92200,0.47700,31.73400,0.31600,35.45000
1460.912017546000015,2.72600,0.61000,34.08000,0.07700,37.49300
1460.945192493999912,2.52100,0.51000,33.47500,0.07000,36.57700
1460.978439493999986,2.23600,0.47100,33.63000,0.08500,36.42300
1461.011538545999883,3.00200,0.81500,31.20300,0.07300,35.09400
1461.077883598999961,2.47700,0.81800,31.85700,0.07000,35.22300
1461.111057441999947,2.30500,0.56800,32.05600,0.10300,35.03300
1461.144270599000038,2.19900,0.42600,34.07400,0.06200,36.76100
1461.177404545999934,2.69100,1.11100,34.92400,0.09900,38.82500
1461.210616597999888,2.28000,0.44000,34.64200,0.08200,37.44400
1461.243791493999879,2.33600,0.51200,31.07200,0.17100,34.09200
1461.276924628999950,2.05900,0.52900,31.99000,0.05600,34.63400
1461.310138411000025,3.05500,0.90400,33.14100,0.14900,37.25000
1461.376482223000039,3.27500,1.27500,35.58700,0.09700,40.23500
1461.409616493999920,1.77200,0.37000,35.16400,0.08200,37.38900
1461.442786493999847,2.61100,0.87700,34.43300,0.09000,38.01200
1461.475962493999987,2.17300,0.61100,33.70900,0.13800,36.63200
1461.509132493999914,2.32200,0.83100,35.30900,0.12400,38.58700
1461.575479441999960,2.13800,1.00000,33.73300,0.05600,36.92800
1461.608692597999834,2.30400,0.51800,33.13100,0.06200,36.01500
1461.641864493999947,2.17100,0.56400,27.93200,0.08800,30.75600
1461.674997545999986,2.24100,0.55400,28.37300,0.10500,31.27500
1461.708211493999897,2.31100,0.87100,26.11300,0.06700,29.36200
1461.741386545999831,2.05400,0.42700,28.73700,0.04900,31.26700
1461.774518493999949,2.17200,0.48600,30.18900,0.09800,32.94700
1461.807729493999886,2.08500,0.54800,36.53000,0.09200,39.25600
1461.840862545999926,2.61200,0.62800,33.72400,0.07600,37.04100
1461.873984889999974,2.22800,0.61400,32.86400,0.08400,35.79000
1461.907156942000029,2.41100,0.63600,33.63000,0.08700,36.76500
1461.973504097999921,2.54300,0.99400,28.63300,0.08600,32.25700
1462.006676046999928,2.50300,0.51300,28.95700,0.11600,32.09000
1462.039788701999896,2.12000,0.57100,31.43900,0.05900,34.19000
1462.072959753999839,1.86500,0.53600,26.84700,0.08100,29.32900
1462.106134546000021,2.26300,0.59100,33.74900,0.07900,36.68200
1462.139304545999948,2.08200,0.47000,33.81000,0.10800,36.47000
1462.172551492999901,2.13200,0.45100,34.20600,0.07200,36.86200
1462.205730285999834,2.72100,0.80900,30.09600,0.07800,33.70500
1462.238825284999848,2.66700,0.52400,27.30200,0.05100,30.54500
1462.272062690999974,2.72500,0.65700,29.46600,0.06900,32.91800
1462.305174524999984,2.98600,1.10300,27.96800,0.07200,32.13000
1462.338347546000023,2.45300,0.84100,27.93000,0.05700,31.28200
1462.371561840999902,3.04200,0.82400,26.76600,0.07600,30.70900
1462.404630309999902,2.29000,0.74000,28.56000,0.09000,31.68100
1462.437887933999946,2.30800,0.87200,30.15400,0.08600,33.42100
1462.471021414000006,3.01900,0.68100,28.14400,0.06600,31.91000
1462.504188840999859,2.48300,0.53600,32.29400,0.06600,35.37900
1462.537323351999930,2.48200,0.46300,28.85500,0.07900,31.87900
1462.570495945999937,2.44800,0.70300,31.16500,0.05200,34.36900
1462.636841402999835,2.08600,0.81500,33.03500,0.06300,36.00000
1462.670019247000027,2.02900,0.45200,31.07300,0.04400,33.59800
1462.703187091000018,2.25800,0.43100,30.30000,0.13800,33.12800
1462.736276484999962,2.04100,0.61600,28.92400,0.05600,31.63700
1462.769524224999941,2.03100,0.43300,29.69000,0.05600,32.21100
1462.802624225000045,2.73700,0.79000,30.94100,0.05700,34.52600
1462.835797182999841,1.89900,0.41900,28.82300,0.04700,31.18800
1462.868967756999837,2.33700,0.43600,27.43100,0.09300,30.29700
1462.902080273999900,2.46000,0.47400,28.81600,0.06400,31.81500
1462.935253689999854,2.55500,0.64800,27.83500,0.14100,31.18000
1462.968424232999951,2.42400,0.55700,38.62200,0.07800,41.68100
1463.067945336999855,2.71400,1.66600,31.94700,0.04600,36.37400
1463.101116440999931,3.23600,1.16600,36.47400,0.07600,40.95300
1463.134392441000045,2.61400,0.98400,32.32100,0.07900,35.99900
1463.167508273999829,3.02700,0.42400,33.80000,0.03900,37.29100
1463.233851316000028,2.09100,1.12400,30.63500,0.04700,33.89800
1463.267028023999956,2.78900,0.78100,29.48900,0.05100,33.11000
1463.300199023999994,2.99300,0.68700,30.76600,0.08100,34.52700
1463.366499920000024,3.18000,1.37800,31.57300,0.06100,36.19300
1463.399697972000013,2.84300,0.61900,29.19400,0.09200,32.74900
1463.432847076999906,2.68600,0.50600,26.08800,0.16900,29.45000
1463.466060971999923,3.33800,0.95200,31.78600,0.06800,36.14500
1463.532444077000036,2.63900,0.86700,30.84000,0.04100,34.38700
1463.565620127999864,2.50100,0.49000,31.12900,0.05200,34.17200
1463.631928388999995,2.69400,0.83200,33.81000,0.06200,37.39800
1463.665100971999891,2.90200,0.51400,35.92300,0.12300,39.46200
1463.731483971999978,2.44100,1.03400,36.37700,0.09900,39.95200
1463.764576024000007,2.94700,0.60300,33.41800,0.07500,37.04400
1463.797690576999912,2.79200,0.71700,28.25900,0.07700,31.84600
1463.830861785000025,2.65300,0.46600,31.13100,0.10800,34.35800
1463.864081420000048,2.50200,0.59700,31.10900,0.06600,34.27500
1463.897209524999880,2.64800,0.47600,31.05000,0.06900,34.24300
1463.930380575999834,3.03600,0.64200,34.84700,0.03900,38.56400
1463.963552628999878,2.55800,0.52000,37.52200,0.06900,40.67000
1464.029982472000029,4.06700,1.48700,38.32500,0.10700,43.98700
1464.063072575999968,3.06400,0.41700,60.27000,0.08900,63.84100
1464.096246523999980,29.62200,0.85900,48.22600,0.08100,78.78900
1464.162728575999836,2.36800,1.06100,36.09900,0.06300,39.59100
